countryId,personId,name,single_seconds
Egypt,2023EYAD01,Eyad Moataz Osama Mohamed Eyad,7.93
Egypt,2022SALM04,Mouaaz Sherif Salman,8.12
Egypt,2019ANTA02,Ali Antar,8.34
Egypt,2019RAGH04,Rafik Eskandar,8.53
Egypt,2019RAGH04,Rafik Sarwat Naeem Ragheb,8.53
Egypt,2019FATH03,Mohannad Mahmoud Fathy,8.54
Egypt,2023SHAH14,Fares Arshad Hussain Shah,8.57
Egypt,2017ABDA01,Ayman Mohamed Abdalla,8.62
Egypt,2022MOST04,Nour Marwan Mostafa,9.12
El Salvador,2019CAST34,Jos Eduardo Palacios Castro,6.63
El Salvador,2017CAST49,Fernando Daniel Domnguez Castaneda,7.33
El Salvador,2018PORT11,Javier Portillo,7.4
El Salvador,2019MART77,Alessandro Martnez,8.05
El Salvador,2022BARR08,Oscar Armando Anaya Barrera,8.3
El Salvador,2015RAMI14,Samuel Cuellar Ramirez,8.31
El Salvador,2015JIME10,Jos Enrique Jimnez,8.52
El Salvador,2021HERN01,Elvis Isa Rosales Hernndez,8.77
El Salvador,2016GALV06,David Glvez,8.86
El Salvador,2015RAMI13,Carlos Mauricio Esperanza Ramirez,8.9
Eritrea,2022ABRA13,Smret Abraham,16.21
Eritrea,2023ALAG01,Tareq Mohammed Mahmoud Alaggad,26.05
Estonia,2018TUUL01,Kaur Tuule,5.01
Estonia,2017PIHE01,Remo Pihel,6.25
Estonia,2020PALL01,Oliver Pllo,6.71
Estonia,2023UDAT01,Artur Udatsnoi,6.93
Estonia,2014SAID02,Alfred Saidlo,7.03
Estonia,2018SLAV01,Nikita Slavinski,7.11
Estonia,2018ZEMT01,Maksim Zemtihhin,7.57
Estonia,2017KIPP01,Erik Kippus,7.66
Estonia,2019ROSE08,Kait Rosenberg,7.66
Estonia,2019MAND11,Pelle Mandel,7.87
Ethiopia,2023PHIL17,Moses Tibeb Firew,8.5
Ethiopia,2024DESS01,Frezer Dessew,12.42
Ethiopia,2024OVER01,Desmond Overstake,14.23
Ethiopia,2025HASS06,Rayyan Hassen,18.26
Ethiopia,2023WOLD01,Shalom Woldemicael,19.83
Ethiopia,2023GRAF04,Argo Graff,38.25
Ethiopia,2025MESF01,Dagemawi Elyas Mesfin,42.81
Fiji,2023RAMS01,Soham Ronav Ram,11.84
Fiji,2024ALIE01,Emir Ali,13.45
Finland,2014NORD02,Amos Nordman,4.8
Finland,2016LAUR01,Linus Laurn,4.86
Finland,2012BUBE01,Reto Bubendorf,5.58
Finland,2016HYTT01,Kari Hyttinen,5.61
Finland,2022SCHA05,Vincent von Schantz,5.65
Finland,2018MCAR01,Callum McArthur-Mortell,5.73
Finland,2016ANSA02,Pessi Ansaranta,5.77
Finland,2022ANTO01,Eevert Antola,5.94
Finland,2013JOKI01,Kim Jokinen,6.07
Finland,2018KINN05,Urho Kinnunen,6.12
France,2014SEBA01,Juliette Sbastien,4.44
France,2022ROBI05,Eden Robinson-Rechavi,4.56
France,2017RIVA09,Quentin Rivault,4.65
France,2018LUCM01,Mathis Luc,4.79
France,2012CARL03,Alexandre Carlier,4.81
France,2010DESJ01,Jules Desjardin,5.01
France,2013GERT01,Nicolas Gertner Kilian,5.05
France,2014BEGU01,Elian Beguec,5.07
France,2016MEUN02,Pierre Meunier,5.12
France,2016UKAJ01,Lir Ukaj,5.21
Georgia,2018DOLE01,Tamar Dolenjishvili,4.76
Georgia,2022MINA01,Giorgi Minasiani,5.35
Georgia,2013MARC05,Vako Marchilashvili,5.37
Georgia,2018ZGUL01,Nino Zguladze,6.2
Georgia,2018GVAR01,Andro Gvaramadze,6.58
Georgia,2022GEGE01,Giorgi Gegeshidze,8.16
Georgia,2023TEVD02,Dachi Tevdorashvili,8.5
Georgia,2024KORG01,Nikoloz Korganashvili,8.6
Georgia,2018SUBA01,Luka Subari,8.78
Georgia,2013KAKH01,Beqa Kakhiani,9.23
Germany,2010WEYE02,Sebastian Weyer,4.32
